month_,country_code,organization_type,city_name,first_online_date,shop_cnt,complete_orders,daily_orders
6,MX,Normal,Chihuahua,2024-06-06,1,114,4.56
6,MX,Normal,Veracruz,2024-06-26,2,29,5.8
6,MX,Normal,Mazatlan,2024-04-16,1,21,1.5
6,PE,Normal,Lima,2024-04-05,5,18,6.0
6,MX,Normal,La Paz,2024-05-21,1,200,6.666666666666667
6,MX,Normal,Puebla,2024-03-23,2,234,7.8
6,CO,Normal,Cali,2024-03-23,1,18,0.6
6,MX,CKA,San Luis Potosi,2024-05-30,1,10,0.3333333333333333
6,MX,Normal,Hermosillo,2024-01-12,1,179,5.966666666666667
6,MX,Normal,Tijuana,2024-06-21,1,43,4.3
6,CO,CKA,Bogotá_ D.C.,2024-04-18,3,224,16.0
6,MX,Normal,Colima,2024-02-15,1,21,0.7
6,CO,Normal,Barranquilla,2024-06-01,1,227,7.566666666666666
6,MX,Normal,Tepic,2024-05-21,1,0,0.0
6,CO,CKA,Cali,2024-06-13,3,37,2.0555555555555554
6,CO,Normal,Bogotá_ D.C.,2024-03-23,1,0,0.0
6,MX,Normal,Jaurez CHIH,2024-06-09,1,106,4.818181818181818
6,MX,Normal,Cuernavaca,2024-05-21,1,94,3.1333333333333333
6,MX,Normal,Cancun,2024-05-04,1,78,2.6
6,CO,CKA,Medellín,2024-06-17,6,185,13.214285714285714
6,CO,CKA,Cali,2024-04-18,2,6,0.42857142857142855
6,MX,Normal,Los Mochis-Guasave,2024-03-21,1,30,1.0
6,MX,CKA,Irapuato,2024-01-04,1,35,1.1666666666666667
6,MX,Normal,Aguascalientes,2024-02-02,1,44,1.4666666666666666
6,MX,Normal,Jaurez CHIH,2024-03-09,2,58,1.9333333333333333
6,MX,CKA,Queretaro,2024-06-17,1,8,0.5714285714285714
6,MX,Normal,Puebla,2024-05-07,2,11,0.36666666666666664
6,MX,Normal,Guadalajara,2024-04-19,9,671,51.61538461538461
6,MX,CKA,Mexico City,2024-01-30,3,127,4.233333333333333
6,CO,Normal,Medellín,2024-04-15,2,84,6.461538461538462
6,MX,CKA,Mexico City,2024-02-14,1,40,1.3333333333333333
6,PE,Normal,Lima,2024-05-16,3,285,9.5
6,CO,Normal,Cali,2024-05-20,3,146,4.866666666666666
6,MX,Normal,Monterrey,2024-06-23,2,36,4.5
6,CO,Normal,Bogotá_ D.C.,2024-01-27,4,1,0.03333333333333333
6,CO,CKA,Medellín,2024-05-29,1,2,0.06666666666666667
6,CO,Normal,Cali,2024-03-12,4,15,0.5
6,MX,Normal,Matamoros,2024-01-09,1,271,9.033333333333333
6,MX,Normal,Mexico City,2024-03-31,1,10,0.3333333333333333
6,MX,Normal,Toluca,2024-04-03,1,61,2.103448275862069
