country_code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Puebla,CKA,2024-06-17 / 2024-06-23,121.0
MX,San Cristobal de las Casas,CKA,2024-06-17 / 2024-06-23,2.0
MX,Celaya,CKA,2024-06-17 / 2024-06-23,12.0
MX,Tlaxcala,CKA,2024-06-17 / 2024-06-23,4.0
MX,Navojoa,CKA,2024-06-17 / 2024-06-23,1.0
MX,San Juan del Rio,CKA,2024-06-17 / 2024-06-23,6.0
MX,Cuernavaca,CKA,2024-06-17 / 2024-06-23,59.0
MX,Ciudad Obregon,CKA,2024-06-17 / 2024-06-23,40.0
MX,Mexico City,CKA,2024-06-17 / 2024-06-23,671.0
MX,Pachuca,CKA,2024-06-17 / 2024-06-23,13.0
MX,Tehuacan,CKA,2024-06-17 / 2024-06-23,1.0
MX,Colima,CKA,2024-06-17 / 2024-06-23,5.0
MX,Merida,CKA,2024-06-17 / 2024-06-23,22.0
MX,Monterrey,CKA,2024-06-17 / 2024-06-23,255.0
MX,Carmen,CKA,2024-06-17 / 2024-06-23,1.0
MX,Irapuato,CKA,2024-06-17 / 2024-06-23,6.0
MX,Cancun,CKA,2024-06-17 / 2024-06-23,49.0
MX,Oaxaca,CKA,2024-06-17 / 2024-06-23,54.0
MX,Villahermosa,CKA,2024-06-17 / 2024-06-23,63.0
MX,Cordoba,CKA,2024-06-17 / 2024-06-23,10.0
MX,Veracruz,CKA,2024-06-17 / 2024-06-23,16.0
MX,Morelia,CKA,2024-06-17 / 2024-06-23,48.0
MX,Durango,CKA,2024-06-17 / 2024-06-23,80.0
MX,Mexicali,CKA,2024-06-17 / 2024-06-23,140.0
MX,Ensenada,CKA,2024-06-17 / 2024-06-23,37.0
MX,Nuevo Laredo,CKA,2024-06-17 / 2024-06-23,5.0
MX,Tepic,CKA,2024-06-17 / 2024-06-23,39.0
MX,Toluca,CKA,2024-06-17 / 2024-06-23,61.0
MX,Tapachula,SME,2024-06-17 / 2024-06-23,13.0
MX,Poza Rica de Hidalgo,SME,2024-06-17 / 2024-06-23,12.0
MX,Morelia,SME,2024-06-17 / 2024-06-23,131.0
MX,Puerto Vallarta,SME,2024-06-17 / 2024-06-23,37.0
MX,San Juan del Rio,SME,2024-06-17 / 2024-06-23,28.0
MX,Durango,SME,2024-06-17 / 2024-06-23,160.0
MX,Pachuca,SME,2024-06-17 / 2024-06-23,24.0
MX,Campeche,SME,2024-06-17 / 2024-06-23,29.0
MX,Celaya,SME,2024-06-17 / 2024-06-23,37.0
MX,Saltillo,SME,2024-06-17 / 2024-06-23,68.0
MX,Los Cabos,SME,2024-06-17 / 2024-06-23,39.0
MX,Irapuato,SME,2024-06-17 / 2024-06-23,35.0
MX,Torreon,SME,2024-06-17 / 2024-06-23,116.0
MX,Aguascalientes,SME,2024-06-17 / 2024-06-23,86.0
MX,Jaurez CHIH,SME,2024-06-17 / 2024-06-23,239.0
MX,Puebla,SME,2024-06-17 / 2024-06-23,183.0
MX,Monterrey,SME,2024-06-17 / 2024-06-23,385.0
MX,Cancun,SME,2024-06-17 / 2024-06-23,83.0
MX,Nuevo Laredo,SME,2024-06-17 / 2024-06-23,34.0
MX,Queretaro,SME,2024-06-17 / 2024-06-23,119.0
MX,Victoria,SME,2024-06-17 / 2024-06-23,39.0
MX,Acapulco,SME,2024-06-17 / 2024-06-23,22.0
MX,Guadalajara,SME,2024-06-17 / 2024-06-23,738.0
MX,Carmen,SME,2024-06-17 / 2024-06-23,15.0
MX,Colima,SME,2024-06-17 / 2024-06-23,59.0
MX,Tehuacan,SME,2024-06-17 / 2024-06-23,12.0
MX,Los Mochis-Guasave,SME,2024-06-17 / 2024-06-23,53.0
MX,Manzanillo,SME,2024-06-17 / 2024-06-23,29.0
MX,Toluca,SME,2024-06-17 / 2024-06-23,115.0
MX,Salamanca,SME,2024-06-17 / 2024-06-23,10.0
MX,Las Choapas,SME,2024-06-17 / 2024-06-23,7.0
MX,Chihuahua,SME,2024-06-17 / 2024-06-23,103.0
MX,Solidaridad,SME,2024-06-17 / 2024-06-23,10.0
MX,Zacatecas,SME,2024-06-17 / 2024-06-23,38.0
MX,San Cristobal de las Casas,SME,2024-06-17 / 2024-06-23,17.0
MX,Leon,SME,2024-06-17 / 2024-06-23,98.0
MX,Cuernavaca,SME,2024-06-17 / 2024-06-23,111.0
MX,Mexicali,SME,2024-06-17 / 2024-06-23,221.0
