country_code,city_name,organization_type,stat_date(月),Daily Orders
MX,Leon,KA,2024-06-01 / 2024-06-01,1624
MX,Irapuato,KA,2024-06-01 / 2024-06-01,541
MX,Aguascalientes,KA,2024-06-01 / 2024-06-01,904
MX,Celaya,KA,2024-06-01 / 2024-06-01,710
MX,Leon,CKA,2024-06-01 / 2024-06-01,692
MX,San Luis Potosi,CKA,2024-06-01 / 2024-06-01,613
MX,Queretaro,CKA,2024-06-01 / 2024-06-01,1410
MX,Monterrey,KA,2024-06-01 / 2024-06-01,18329
MX,Monterrey,DK,2024-06-01 / 2024-06-01,3222
MX,Saltillo,KA,2024-06-01 / 2024-06-01,2502
MX,Saltillo,DK,2024-06-01 / 2024-06-01,72
MX,Mexico City,SME,2024-06-01 / 2024-06-01,19772
MX,Mexico City,CKA,2024-06-01 / 2024-06-01,12587
MX,Mexico City,DK,2024-06-01 / 2024-06-01,2297
MX,Mexico City,KA,2024-06-01 / 2024-06-01,37044
MX,Toluca,SME,2024-06-01 / 2024-06-01,1882
MX,Toluca,CKA,2024-06-01 / 2024-06-01,1083
MX,Toluca,KA,2024-06-01 / 2024-06-01,2691
MX,Toluca,DK,2024-06-01 / 2024-06-01,186
CO,Ibagué,SME,2024-06-01 / 2024-06-01,0
CO,Valledupar,SME,2024-06-01 / 2024-06-01,0
CO,Santa marta,SME,2024-06-01 / 2024-06-01,0
CO,Bucaramanga,SME,2024-06-01 / 2024-06-01,482
CO,Manizales,SME,2024-06-01 / 2024-06-01,0
CO,Barranquilla,SME,2024-06-01 / 2024-06-01,1714
CO,Cali,SME,2024-06-01 / 2024-06-01,3080
CO,Villavicencio,SME,2024-06-01 / 2024-06-01,0
CO,Cartagena,SME,2024-06-01 / 2024-06-01,100
CO,Pereira,SME,2024-06-01 / 2024-06-01,0
CO,Cúcuta,SME,2024-06-01 / 2024-06-01,50
CO,Villavicencio,DK,2024-06-01 / 2024-06-01,-
CO,Valledupar,DK,2024-06-01 / 2024-06-01,-
CO,Cúcuta,DK,2024-06-01 / 2024-06-01,8
CO,Manizales,DK,2024-06-01 / 2024-06-01,-
CO,Ibagué,DK,2024-06-01 / 2024-06-01,-
CO,Pereira,DK,2024-06-01 / 2024-06-01,0
CO,Medellín,SME,2024-06-01 / 2024-06-01,5863
CO,Manizales,KA,2024-06-01 / 2024-06-01,0
CO,Santa marta,KA,2024-06-01 / 2024-06-01,0
CO,Ibagué,KA,2024-06-01 / 2024-06-01,0
CO,Barranquilla,DK,2024-06-01 / 2024-06-01,654
CO,Cartagena,DK,2024-06-01 / 2024-06-01,7
CO,Cali,KA,2024-06-01 / 2024-06-01,3026
CO,Pereira,KA,2024-06-01 / 2024-06-01,0
CO,Cúcuta,KA,2024-06-01 / 2024-06-01,130
CO,Valledupar,KA,2024-06-01 / 2024-06-01,0
CO,Barranquilla,KA,2024-06-01 / 2024-06-01,1421
CO,Bucaramanga,DK,2024-06-01 / 2024-06-01,66
CO,Villavicencio,KA,2024-06-01 / 2024-06-01,0
CO,Santa marta,DK,2024-06-01 / 2024-06-01,0
CO,Cali,DK,2024-06-01 / 2024-06-01,264
CO,Bogotá D.C.,DK,2024-06-01 / 2024-06-01,1592
CO,Medellín,DK,2024-06-01 / 2024-06-01,875
CO,Bogotá D.C.,SME,2024-06-01 / 2024-06-01,6233
CO,Bogotá D.C.,KA,2024-06-01 / 2024-06-01,7405
CO,Bucaramanga,KA,2024-06-01 / 2024-06-01,419
CO,Cartagena,KA,2024-06-01 / 2024-06-01,220
CO,Medellín,KA,2024-06-01 / 2024-06-01,4969
CO,Santa marta,CKA,2024-06-01 / 2024-06-01,-
CO,Villavicencio,CKA,2024-06-01 / 2024-06-01,0
CO,Valledupar,CKA,2024-06-01 / 2024-06-01,0
